journal,author,title,translated year,issue,author name in english,original title,first published year,genre,additional comments
IL,Азимов Айзек,Буква закона,1981,7,Isaac Asimov,A Loint of Paw,1957,,first published in The Magazine of Fantasy & Science Fiction
IL,Аллен Вуди,Воспоминания о двадцатых,1979,4,Woody Allen,A Twenties Memory,1971,,"part of Getting Even collection, most peaces first published in the New Yorker between 1966 and 1971"
IL,Аллен Вуди,Смерть: Пьеса,1989,8,Woody Allen,Death,1975,,
IL,Аллен Вуди,Квитанции Меттерлина,1989,8,Woody Allen,The Metterling Lists,1969,,"first published in the New Yorker in 1969, part of Getting Even collection(1971), most peaces first published in the New Yorker between 1966 and 1971"
IL,Аллен Вуди,Беседы с Гельмгольцем,1989,8,Woody Allen,Conversations with Helmholtz,1971,,"part of Getting Even collection, most peaces first published in the New Yorker between 1966 and 1971"
IL,Аллен Вуди,Рассказы: Торговцы интеллектом,1977,6,Woody Allen,The Whore of Mensa,1974,,"first published in the New Yorker, later part of Without Feathers(1975) collection"
IL,Аллен Вуди,...Век учись,1977,6,Woody Allen,Spring Bulletin,1967,,"first published in the New Yorker, part of Getting Even collection(1971) "
IL,Аллен Вуди,Смерть стучится в дверь,1978,5,Woody Allen,Death Knocks,1968,,"part of Getting Even collectio(1971)n, most peaces first published in the New Yorker between 1966 and 1971"
IL,Аллен Вуди,Если бы импрессионисты были стомато­ логами...,1978,5,Woody Allen,If the Impressionists Had Been Dentists,1975,,
IL,Андерсон Шервуд,Его комод,1982,3,Sherwood Anderson,His Chest of Drawers,1942,,
IL,Андерсон Шервуд,Пастораль,1982,3,Sherwood Anderson,Pastoral,1942,,
IL,Андерсон Шервуд,Незабытый,1982,3,Sherwood Anderson,Childhood and Young Manhood,1942,,
IL,Андерсон Шервуд,Большая рыба,1982,3,Sherwood Anderson,Big Fish,1942,,
IL,Андерсон Шервуд,Наша утренняя перекличка,1982,3,Sherwood Anderson,Our Morning Roll Call,1942,,
IL,Андерсон Шервуд,Землевладелец,1982,3,Sherwood Anderson,A Landed Proprietor,1942,,
IL,Апдайк Джон,Давай поженимся: Романтическая история,1979,"7, 8",John Updike,Marry Me,1976,,
IL,Апдайк Джон,Кентавр: Роман,1965,"1, 2",John Updike,Centaur,1963,,
IL,Апдайк Джон,Ферма: Роман,1967,4,John Updike,Of the Farm,1965,,
IL,Бартельм Дональд,Полицейский джаз,1980,5,Donald Barthelme,The Police Band,1964,,published in the New Yorker
IL,Бах Ричард Дэвис,Чайка по имени Джонатан Ливингстон: Повесть-притча,1974,12,Richard Bach,Jonathan Livingston Seagull: A Story,1970,,
IL,Бейли Уильям,Ветер рождает бурю: Повесть,1970,4,Bill Bailey,,,,
IL,Беллоу Сол,Герцог: Роман,1990,"11, 12",Saul Bellow,Herzog,1964,,
IL,Бенчли Питер,Челюсти: Роман,1984,"7, 8",Peter Benchley,Jaws,1974,,
IL,Бенчли Роберт,Способны ли насекомые мыслить?: Рассказ,1985,4,Robert Benchley,Do Incects Think?,1922,,
IL,Болдуин Джеймс,Блюз Сонни,1971,4,James Baldwin,Sonny's Blues,1957,,
IL,Болдуин Джеймс,Наследник,1971,4,James Baldwin,The Man Child,1965,,
IL,Болдуин Джеймс,Блюз для мистера Чарли: Пьеса в 3-х д.,1964,11,James Baldwin,Blues for Mister Charlie,1964,,
IL,Болдуин Джеймс,Если Бийл-стрит могла бы заговорить: Роман,1975,7,James Baldwin,If Beale Street Could Talk,1974,,
IL,Болдуин Джеймс,Записки сына Америки: Глава из книги,1982,2,James Baldwin,Notes of Native Son,1955,,
IL,Боуэн Роберт,Какой ценой,1958,8,,,,,
IL,Браутиган Ричард,Литературная жизнь в Калифорнии,1981,5,Richard Brautigan,The Literary Life in California/1964,1971,,
IL,Браутиган Ричард,На троих,1981,5,Richard Brautigan,"1/3, 1/3, 1/3",1971,,
IL,Браутиган Ричард,Я пытался описать тебя кому-то,1981,5,Richard Brautigan,I Was Trying to Describe You to Someone,1971,,
IL,Браутиган Ричард,Машинистка Эрнеста Хемингуэя,1981,5,Richard Brautigan,Ernest Hemingway's Typist,1971,,
IL,Бретнор Реджиналд, Корень зла: Рассказ,1985,11,Reginald Bretnor,Bug Getter,1960,,First published in: The Magazine of Fantasy & Science Fiction
IL,Брэдбери Рэй,Фантастические рассказы: Луг,1963,8,Ray Bradbury,The Meadow,1953,,
IL,Брэдбери Рэй,Вельд,1963,8,Ray Bradbury,The Veldt,1950,,
IL,Брэдбери Рэй,Чепушинка,1983,7,Ray Bradbury,Everything Instead of Something,1943,,
IL,Бухвальд Арт,Грандиозный сценарий Флетча,1977,2,Art Buchwald,,,,
IL,Бухвальд Арт,Давайте сделаем не­ большую передышку,1977,2,Art Buchwald,,,,
IL,Бухвальд Арт,Безработный патриот,1977,2,Art Buchwald,,,,
IL,Бухвальд Арт,Изобретение телевиде­ ния,1977,2,Art Buchwald,,,,
IL,Бухвальд Арт,Луна на Земле,1977,2,Art Buchwald,,,,
IL,Бухвальд Арт,Горести рая,1977,2,Art Buchwald,,,,
IL,Бухвальд Арт,Совет писателям,1964,5,Art Buchwald,,,,
